Titre,Année de sortie,Type de jeu,Description,Console,Cover,Lien IGN,Note IGN,Lien Metacritic,Lien Jeuxvideo.com,Note Jeuxvideo.com,Note Metacritic
V-Rally,1997,Course de rallye,"Pionnier de la course de rallye sur console, V-Rally est sorti sur PlayStation en 1997 et a marqué son époque par sa réalisation technique impressionnante. Le titre propose de piloter les voitures emblématiques du championnat du monde à travers un grand nombre de pays aux tracés exigeants. Il intègre des conditions météorologiques variées ainsi que des effets de lumière innovants pour l'époque. Son comportement routier nerveux et son mode deux joueurs en écran séparé en ont fait un véritable best-seller.",PS1,v-rally,https://www.ign.com/games/v-rally-97-championship-edition,8,,https://www.jeuxvideo.com/jeux/jeu-55966/,14,
Formula One,1996,Course de Formule 1,"Développé par Psygnosis et sorti en 1996, Formula One est la référence incontournable qui a popularisé la simulation de F1 sur la première console de Sony. Le titre bénéficie des licences officielles de la FIA, incluant l'intégralité des écuries, des pilotes et des circuits de la saison 1995. Les commentaires dynamiques réalisés par de vrais journalistes sportifs renforcent considérablement l'immersion des courses. Son mélange équilibré entre accessibilité arcade et réglages techniques poussés a conquis des millions de joueurs.",PS1,formula-one,https://www.ign.com/games/formula-one,,https://www.metacritic.com/game/formula-1/,https://www.jeuxvideo.com/jeux/amstrad-cpc/00024831-formula-one.htm,,
Porsche Challenge,1997,Course,"Développé par le studio SCEE Studio Soho et sorti en 1997, Porsche Challenge est un jeu de course proposant de piloter exclusivement la célèbre Porsche Boxster. Le titre permet de choisir parmi plusieurs pilotes aux personnalités bien distinctes, influençant légèrement le comportement du véhicule. L'une de ses plus grandes innovations réside dans ses tracés interactifs dont l'itinéraire évolue en cours de compétition selon vos performances. Ses graphismes fluides et sa conduite grisante en font un titre marquant de la PlayStation.",PS1,porsche-challenge,https://www.ign.com/games/porsche-challenge,8,https://www.metacritic.com/game/porsche-challenge,https://www.jeuxvideo.com/jeux/playstation-ps1/00001406-porsche-challenge.htm,,
Parasite Eve II,1999,Action-RPG,"Sorti en 2000 sur PlayStation, Parasite Eve II est un survival horror à l'ambiance cinématographique combinant habilement horreur et éléments de RPG. Le joueur y retrouve Aya Brea, désormais agent de la brigade M.I.T.O., confrontée à une nouvelle éruption de créatures néo-mitochondriales à Los Angeles et dans le désert du Mojave. Le gameplay délaisse le système de combat actif du premier opus pour adopter une prise en main plus proche d'un Resident Evil enrichie par l'utilisation de pouvoirs psychiques. C'est une œuvre sombre et captivante portée par une réalisation technique remarquable.",PS1,parasite-eve-2,https://www.ign.com/games/parasite-eve-ii,6.9,https://www.metacritic.com/game/parasite-eve-ii,https://www.jeuxvideo.com/jeux/jeu-57794/,17,79
Roswell Conspiracies: Aliens Myths & Legends,2000,Action-aventure,"Inspiré de la série animée éponyme, Roswell Conspiracies: Aliens Myths & Legends est sorti en 2001 sur la console de Sony. Le joueur incarne Nick Logan, un agent œuvrant au sein d'une organisation secrète chargée d'enquêter sur la présence d'extraterrestres cachés parmi les humains. Le gameplay mêle tir à la troisième personne, exploration et résolution d'énigmes dans des environnements variés allant de villes sombres à des complexes secrets. C'est une aventure d'action mystérieuse qui ravira les amateurs d'histoires de conspirations et de science-fiction.",PS1,roswell-conspiracies,https://www.ign.com/games/roswell-conspiracies-aliens-myths-legends,,https://www.metacritic.com/game/roswell-conspiracies-aliens-myths-and-legends/,https://www.jeuxvideo.com/jeux/jeu-58028/,,
Canal + Premier Manager,1998,Gestion sportive,"Canal + Premier Manager, sorti à la fin des années 90 sur PlayStation, offre aux amateurs de football une simulation complète de gestion de club. Le jeu permet de prendre les commandes d'une équipe professionnelle afin d'en gérer la tactique, le recrutement de joueurs ainsi que les finances du stade. La présence du label Canal + apporte un cachet télévisuel familier pour le public francophone avec des menus clairs et intuitifs. C'est un titre idéal pour les passionnés désireux d'endosser le rôle d'entraîneur-manager.",PS1,canal-premier-manager,,,,https://www.jeuxvideo.com/jeux/playstation-ps1/00005635-canal-premier-manager.htm,13,
Ronaldo V-Football,2000,Football,"Sorti en 1999 sur PS1, Ronaldo V-Football est une simulation de football parrainée par le légendaire attaquant brésilien Ronaldo Nazário. Le titre propose plus de 64 sélections nationales compétitives et une grande variété de compétitions, dont des tournois internationaux sur mesure. Les graphismes soignés et les animations réalistes pour l'époque retransmettent bien la nervosité des matchs sur le terrain. C'est un jeu sportif accessible et dynamique qui a marqué la génération de la première PlayStation.",PS1,ronaldo-v-football,https://www.ign.com/games/ronaldo-v-football,,https://www.metacritic.com/game/ronaldo-v-football,https://www.jeuxvideo.com/jeux/jeu-57290/,16,
Colony Wars,1997,Simulation de combat spatial,"Développé par le studio Psygnosis et sorti en 1997, Colony Wars est un simulateur de combat spatial époustouflant pour la PlayStation. Le joueur y prend le manche d'un chasseur au sein de la Ligue des Mondes Libres en lutte contre la tyrannie de l'Empire Terrestre. La campagne solo propose un système de missions à arborescence dynamique où chaque défaite ou victoire modifie le cours du conflit. Ses effets visuels spectaculaires et son univers SF captivant en font un joyau de la console.",PS1,colony-wars,https://www.ign.com/games/colony-wars,9.3,https://www.metacritic.com/game/colony-wars,https://www.jeuxvideo.com/jeux/jeu-56095/,17,91
Moto Racer 2,1998,Course de moto,"Paru en 1998, Moto Racer 2 est un jeu de course de motos particulièrement populaire qui permet d'affronter des circuits en motocross comme en superbike. Il enrichit considérablement la recette de son prédécesseur grâce à la présence d'un éditeur de pistes d'une grande simplicité d'utilisation. Les sensations de vitesse sont excellentes et le titre propose un grand nombre de paysages variés à travers le monde. C'est un grand classique de la console pour les amateurs d'asphalte et de saut de bosses.",PS1,moto-racer-2,https://www.ign.com/games/moto-racer-2,8.6,https://www.metacritic.com/game/moto-racer-2,https://www.jeuxvideo.com/jeux/jeu-55652/,17,
Tintin : Objectif Aventure,2001,Action-aventure,"Sorti en 2001 sur PS1, Tintin : Objectif Aventure plonge le célèbre reporter d'Hergé dans une grande aventure en plateforme 3D. Suite à une invention du Professeur Tournesol, Tintin se remémore ses plus célèbres péripéties à travers le monde, du Moyen-Orient à l'Amérique du Sud. Le joueur explore divers environnements en sautant, résolvant de petites énigmes et esquivant une galerie d'ennemis emblématiques. C'est un titre coloré et très fidèle à l'univers visuel des bandes dessinées d'origine.",PS1,tintin-objectif-aventure,https://www.ign.com/games/tintin-in-tibet,,,https://www.jeuxvideo.com/jeux/jeu-60440/,12,
Heart of Darkness,1998,Plateforme,"Heart of Darkness, chef-d'œuvre développé par Éric Chahi et sorti en 1998, est un jeu d'action-plateforme d'une beauté exceptionnelle. On y suit l'histoire d'Andy, un jeune garçon qui s'enfonce dans le sombre monde des ombres pour secourir son chien Whisky. Le titre impressionne par ses cinématiques en synthèse magnifiques et ses animations d'une précision remarquable à la main. Malgré une difficulté relevée, son ambiance envoûtante et son orchestre symphonique en font un incontournable absolu.",PS1,heart-of-darkness,https://www.ign.com/games/heart-of-darkness,5.8,https://www.metacritic.com/game/heart-of-darkness,https://www.jeuxvideo.com/jeux/jeu-56148/,15,
Xena : Warrior Princess,1999,Action-aventure,"Adapté de la célèbre série télévisée des années 90, Xena : Warrior Princess est un jeu d'action à la troisième personne sorti en 1999. On y incarne la redoutable guerrière dans une quête mythologique pour sauver sa compagne Gabrielle des griffes d'une sorcière maléfique. Le gameplay repose sur des combats au sabre ainsi que sur l'utilisation stratégique du chakram, son arme de jet emblématique. C'est un titre d'action plaisant qui plaira tout particulièrement aux nostalgiques du show TV.",PS1,xena-warrior-princess,https://www.ign.com/games/xena-warrior-princess,6.5,https://www.metacritic.com/game/xena-warrior-princess,https://www.jeuxvideo.com/jeux/jeu-82471/,11,
Bugs Bunny: Voyage à travers le temps,1999,Plateforme,"Sorti en 1999 sur PlayStation, Bugs Bunny: Voyage à travers le temps propose une aventure de plateforme riche et hilarante. À la suite d'une erreur d'aiguillage temporel, Bugs Bunny se retrouve égaré dans différentes époques allant du Moyen Âge à l'Âge de Pierre. Le joueur doit explorer de vastes niveaux en 3D, récolter des réveils et affronter des personnages cultes des Looney Tunes comme Marvin le Martien ou Sam le Pirate. C'est un jeu extrêmement drôle, varié et très respectueux du dessin animé original.",PS1,bugs-bunny-voyage-a-travers-le-temps,https://www.ign.com/games/bugs-bunny-lost-in-time,7.8,https://www.metacritic.com/game/bugs-bunny-lost-in-time/,https://www.jeuxvideo.com/jeux/jeu-56080/,12,
Mickey's Wild Adventure,1996,Plateforme,"Mickey's Wild Adventure, paru en 1995 sur PlayStation, remanie le légendaire jeu de plateforme 16 bits sorti sous le nom de Mickey Mania. Le joueur y traverse les décors des courts-métrages d'animation les plus célèbres de Mickey Mouse, depuis Steamboat Willie jusqu'au Prince et le Pauvre. Graphiquement superbe, le jeu propose une expérience colorée riche en sauts millimétrés et en énigmes accessibles. C'est un véritable hommage à l'histoire visuelle de la mascotte de Disney.",PS1,mickeys-wild-adventure,https://www.ign.com/games/mickeys-wild-adventure,,,https://www.jeuxvideo.com/jeux/jeu-59290/,18,
Knockout Kings 99,1998,Boxe,"Sorti en 1998, Knockout Kings 99 est la première grande simulation de boxe développée par EA Sports sur consoles de salon. Le jeu rassemble des légendes incontournables du noble art telles que Muhammad Ali, Evander Holyfield ou Sugar Ray Leonard. Il propose un mode carrière particulièrement complet permettant d'entraîner son propre boxeur pour le hisser au sommet de la hiérarchie mondiale. Avec ses animations réalistes et ses combats techniques, le titre a posé les bases des futures simulations de combat.",PS1,knockout-kings-99,https://www.ign.com/games/knockout-kings,7.3,,https://www.jeuxvideo.com/jeux/playstation-ps1/00001309-knockout-kings-99.htm,,
Gunfighter: La légende de Jesse James,2001,Action-aventure,"Développé par Rebellion et sorti en 2001, Gunfighter: La légende de Jesse James est un jeu de tir au pistolet optique sur PS1. Dans la peau du célèbre hors-la-loi, le joueur doit défier une armée de bandits à travers des villes du Far West et des saloons animés. Utilisant le pistolet G-Con, le titre privilégie l'action frénétique avec un système de couverture pour recharger au moment opportun. C'est une expérience arcade très dynamique pour les passionnés de westerns.",PS1,gunfighter-la-legende-de-jesse-james,https://www.ign.com/games/gunfighter-the-legend-of-jesse-james,,https://www.metacritic.com/game/gunfighter-the-legend-of-jesse-james/,,,55
Demolition Racer,2000,Course de destruction,"Demolition Racer, sorti sur PlayStation en 1999, combine la frénésie des courses automobiles avec la destruction brutale de véhicules. Le but n'est pas seulement de franchir la ligne d'arrivée en premier, mais également d'infliger d'immenses dégâts à ses adversaires pour accumuler des points. Le jeu offre un moteur physique de déformation spectaculaire et des circuits remplis de tremplins et d'obstacles. C'est un défouloir idéal pour les amateurs d'arènes de démolition et de tôles froissées.",PS1,demolition-racer,https://www.ign.com/games/demolition-racer,7.8,https://www.metacritic.com/game/demolition-racer,https://www.jeuxvideo.com/jeux/jeu-57203/,16,77
007 Le monde ne suffit pas,1998,Tir au pistolet optique,"Basé sur le film éponyme de la saga James Bond, 007 Le monde ne suffit pas est sorti sur PlayStation à la fin de l'année 2000. Ce jeu de tir à la première personne met le joueur dans la peau de l'agent 007 à travers des missions d'infiltration et d'action intense aux quatre coins du globe. L'arsenal complet comprend de nombreux gadgets hi-tech iconiques comme le grappin ou les lunettes X-Ray. C'est une adaptation très fidèle au long-métrage qui offre une excellente ambiance d'espionnage.",PS1,007-le-monde-ne-suffit-pas,https://www.ign.com/games/007-the-world-is-not-enough,8.9,https://www.metacritic.com/game/007-the-world-is-not-enough/,https://www.jeuxvideo.com/jeux/jeu-57929/,15,81
Tomb Raider,1996,Action-aventure,"Monument fondateur du jeu d'action-aventure en 3D sorti en 1996, Tomb Raider introduit la légendaire archéologue Lara Croft. Le joueur explore des ruines antiques oubliées, des pyramides égyptiennes aux cités perdues, en résolvant d'incroyables énigmes architecturales. Le gameplay associe une plateforme millimétrée au quadrillage précis à des affrontements contre des créatures sauvages et des mercenaires. Son ambiance mystérieuse et sa réalisation révolutionnaire pour l'époque en font une œuvre majeure de l'histoire du jeu vidéo.",PS1,tomb-raider,https://www.ign.com/games/tomb-raider,9.1,https://www.metacritic.com/game/tomb-raider,https://www.jeuxvideo.com/jeux/jeu-82612/,18,86
Tomb Raider II,1997,Action-aventure,"Sorti dès 1997, Tomb Raider II confirme le phénomène mondial entourant Lara Croft en l'emmenant explorer les quatre coins de la planète. De la grande Muraille de Chine aux canaux de Venise en passant par les profondeurs de la mer, les environnements sont plus vastes et variés que jamais. Cet épisode met davantage l'accent sur les combats contre des mercenaires armés et introduit la conduite de véhicules comme le motonautisme. C'est un sommet de la franchise sur la première console de Sony.",PS1,tomb-raider-ii,https://www.ign.com/games/tomb-raider-ii-starring-lara-croft,8,https://www.metacritic.com/game/tomb-raider-ii,https://www.jeuxvideo.com/jeux/jeu-77535/,17,85
Tekken 2,1995,Combat,"Incontournable jeu de combat en 3D paru en 1996 sur PlayStation, Tekken 2 consolide le succès phénoménal de la franchise de Bandai Namco. Avec un casting élargi comptant plus de 20 combattants aux styles d'arts martiaux uniques, le titre offre une technicité impressionnante pour l'époque. Son système d'enchaînements et de prises spectaculaires s'accompagne d'un mode histoire agrémenté de magnifiques cinématiques de fin. C'est un jeu mythique qui a durablement marqué toute une génération de joueurs sur console.",PS1,tekken-2,https://www.ign.com/games/tekken-2,6.2,https://www.metacritic.com/game/tekken-2,https://www.jeuxvideo.com/jeux/jeu-56282/,,89
Tekken 3,1998,Combat,"Chef-d'œuvre absolu de la baston 3D sorti en 1998, Tekken 3 repousse les limites techniques de la PlayStation 1 de façon spectaculaire. Il introduit un système de déplacement latéral inédit ainsi que des personnages cultes comme Jin Kazama, Eddy Gordo ou Ling Xiaoyu. Le jeu se distingue également par la présence de modes bonus mémorables tels que le Tekken Force et le Tekken Ball. Sa fluidité légendaire à 60 images par seconde en fait l'un des plus grands jeux de la console.",PS1,tekken-3,https://www.ign.com/games/tekken-3,9.3,https://www.metacritic.com/game/tekken-3,https://www.jeuxvideo.com/jeux/jeu-56283/,18,96
Rayman 2: The Great Escape,1999,Plateforme,"Rayman 2: The Great Escape, sorti en 1999, fait passer la mascotte d'Ubisoft à la 3D avec une maîtrise technique et artistique époustouflante. Le joueur y incarne Rayman luttant contre l'invasion des Pirates-Robots menés par le terrible Capitaine Barbe-Tranchante. Les niveaux débordent d'idées originales, oscillant entre plateforme poétique, glissades vertigineuses et chevauchées d'obus à pattes. C'est une merveille de game design portée par une bande-son enchanteresse et magique.",PS1,rayman-2,https://www.ign.com/games/rayman-2-the-great-escape,9,https://www.metacritic.com/game/rayman-2-the-great-escape,https://www.jeuxvideo.com/jeux/jeu-65111/,19,61
Rayman,1995,Plateforme,"Sorti en 1995 sur PS1, le premier Rayman est une œuvre d'art de la plateforme en 2D aux graphismes dessinés à la main absolument somptueux. On y découvre un monde enchanté menacé par le vil Mister Dark, où Rayman doit libérer les Electoons capturés dans des cages. Malgré sa direction artistique colorée et enfantine, le jeu propose un défi de plateforme exigeant exigeant une précision redoutable. Ses musiques mémorables et son univers unique en ont fait un classique immédiat.",PS1,rayman,https://www.ign.com/games/rayman,7,https://www.metacritic.com/game/rayman,https://www.jeuxvideo.com/jeux/jeu-58639/,18,84
Rayman Rush,2002,Action et Course,"Rayman Rush est un jeu de course de plateforme frénétique sorti sur la première PlayStation en 2002. Issu de l'univers de Rayman 2, il propose d'affronter des adversaires sur des parcours d'obstacles truffés de pièges et de bonus. Les joueurs doivent sprinter, sauter et glisser à toute vitesse pour franchir la ligne d'arrivée en premier ou accomplir les meilleurs temps. C'est un titre idéal pour des sessions multijoueurs rapides et compétitives entre amis.",PS1,rayman-rush,https://www.ign.com/games/rayman-rush,,https://www.metacritic.com/game/rayman-rush,https://www.jeuxvideo.com/jeux/playstation-ps1/00008975-rayman-rush.htm,10,62
Star Wars Episode I Jedi Power Battles,2000,Action,"Star Wars Episode I Jedi Power Battles, sorti sur PS1 en 2000, est un jeu d'action de type beat 'em all frénétique. Les joueurs incarnent des Maîtres Jedi comme Qui-Gon Jinn, Obi-Wan Kenobi ou Mace Windu à travers les événements emblématiques du film La Menace Fantôme. Armé d'un sabre laser et maîtrisant les pouvoirs de la Force, il faut repousser des hordes de droïdes de combat et de mercenaires. Jouable en coopération à deux, c'est un titre particulièrement dynamique et stimulant.",PS1,star-wars-episode-i-jedi-power-battles,https://www.ign.com/games/star-wars-episode-i-jedi-power-battles,6.8,https://www.metacritic.com/game/star-wars-episode-i-jedi-power-battles,https://www.jeuxvideo.com/jeux/jeu-70065/,10,76
Star Wars Episode I La menace fantôme ,1999,Action-aventure,"Basé sur le blockbuster cinématographique de 1999, Star Wars Episode I La menace fantôme est un jeu d'action-aventure en vue à la troisième personne. Le joueur y incarne tour à tour Obi-Wan Kenobi, Qui-Gon Jinn, le Capitaine Panaka ou la Reine Amidala. L'aventure associe des combats au sabre laser, des séquences de tir et de nombreuses interactions avec les PNJ sur Naboo, Tatooine ou Coruscant. C'est une immersion complète au cœur de l'univers étendu de la saga spatiale.",PS1,star-wars-episode-i-la-menace-fantome,https://www.ign.com/games/star-wars-episode-i-the-phantom-menace,6.2,https://www.metacritic.com/game/star-wars-episode-i-the-phantom-menace/,https://www.jeuxvideo.com/jeux/jeu-55865/,14,
Die Hard Trilogy 2: Viva Las Vegas,2000,Action,"Sorti en 2000 sur PlayStation, Die Hard Trilogy 2: Viva Las Vegas réemploie la formule à succès de son prédécesseur en proposant trois modes de jeu totalement différents. Le joueur incarne le policier John McClane confronté à une attaque terroriste d'envergure dans la capitale du jeu. L'aventure alterne entre un jeu d'action à la troisième personne, un rail-shooter intense au pistolet optique et un jeu de conduite frénétique. C'est une expérience très variée et bourrée d'action survolté.",PS1,die-hard-trilogy-2-viva-las-vegas,https://www.ign.com/games/die-hard-trilogy-2-viva-las-vegas,5.7,https://www.metacritic.com/game/die-hard-trilogy-2-viva-las-vegas,https://www.jeuxvideo.com/jeux/jeu-57549/,10,
Die Hard Trilogy,1996,Action,"Paru en 1996, Die Hard Trilogy est un véritable tour de force technique qui rassemble trois types de gameplay distincts sur le même disque. Adapté des trois premiers films de la saga cinématographique, le jeu propose du tir à la troisième personne dans un gratte-ciel, du rail-shooter dans un aéroport et de la conduite urbaine dans New York. Chaque expérience possède ses propres mécaniques et sa propre prise en main pour un plaisir d'action ininterrompu. C'est l'un des titres les plus novateurs et populaires de la PS1.",PS1,die-hard-trilogy,https://www.ign.com/games/die-hard-trilogy,7.5,https://www.metacritic.com/game/die-hard-trilogy,https://www.jeuxvideo.com/jeux/jeu-55337/,,
Oddworld : L'Odyssée d'Abe,1997,Plateforme,"Sorti en 1997, Oddworld : L'Odyssée d'Abe est un chef-d'œuvre de plateforme et d'énigmes doté d'un univers cinématographique sombre et captivant. Le joueur contrôle Abe, un modeste ouvrier Mudokon découvrant que son entreprise compte transformer ses congénères en nourriture. Grâce au système de communication GameSpeak et à ses pouvoirs de possession télépathique, Abe doit s'évader et sauver ses frères. Son ambiance visuelle unique et son humour noir marquant en font un classique impérissable.",PS1,oddworld-l-odyssee-d-abe,https://www.ign.com/games/oddworld-abes-oddysee,7.5,https://www.metacritic.com/game/oddworld-abes-oddysee/,https://www.jeuxvideo.com/jeux/jeu-55685/,18,85
Gran Turismo 4,2004,Simulation de course,"Véritable monument de la simulation automobile sorti en 2004 sur PS2, Gran Turismo 4 repousse les limites de la console de Sony. Le titre rassemble plus de 700 véhicules modélisés avec une précision chirurgicale et une cinquantaine de circuits mythiques à travers le monde. Il introduit le mode B-Spec permettant de gérer une écurie et de coacher son pilote ainsi qu'un mode Photo très avancé. Sa physique de pilotage réaliste et son contenu gargantuesque en font la référence absolue du genre.",PS2,gran-turismo-4,https://www.ign.com/games/gran-turismo-4,9.5,https://www.metacritic.com/game/gran-turismo-4,https://www.jeuxvideo.com/jeux/playstation-2-ps2/00009420-gran-turismo-4.htm,18,89
Coupe du Monde FIFA 2002,2002,Sport (football),"Commercialisé à l'occasion du grand tournoi asiatique en 2002, Coupe du Monde FIFA 2002 offre une célébration festive du football international sur PS2. Le titre intègre l'ensemble des nations qualifiées ainsi que les stades officiels de Corée du Sud et du Japon. Il se démarque par un système de tirs puissants matérialisés par des effets de traînée et une jauge d'énergie spécifique. C'est une simulation sportive accessible, dynamique et empreinte d'une atmosphère festive mémorable.",PS2,coupe-du-monde-fifa-2002,https://www.ign.com/games/2002-fifa-world-cup,9.3,https://www.metacritic.com/game/2002-fifa-world-cup/,https://www.jeuxvideo.com/jeux/jeu-60937/,15,73
Constantine,2005,Action-aventure,"Adapté du film de science-fiction avec Keanu Reeves, Constantine est un jeu d'action-aventure sorti en 2005 sur PlayStation 2. Le joueur y incarne John Constantine, un détective de l'extrême capable de voyager entre le monde réel et un Enfer terrifiant. Le gameplay combine des phases de tir à la troisième personne avec l'utilisation de sortilèges occultes pour vaincre des hordes de démons. C'est un titre à l'atmosphère sombre et ésotérique idéale pour les fans de fantastique.",PS2,constantine,https://www.ign.com/games/constantine,6.5,https://www.metacritic.com/game/constantine,https://www.jeuxvideo.com/jeux/jeu-63246/,9,
